Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_deposition,k_wet_deposition
Ocean_Mixed_Water,heterMP,mp3,1.2155358806115762e-12,"[7.935514617141138e-12, 7.935514617141138e-12, 0.0, 0.0, 0.0]",0.0,7.959311909769156e-15,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.286224075389044e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp4,1.2155358806115764e-10,"[9.512947284918179e-11, 3.170982428306059e-11, 3.170982428306059e-11, 0.0, 0.0]",0.0,4.779259182418434e-11,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446735920932815e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp5,1.2155358806115764e-08,"[1.1098427205622372e-09, 2.378234401204794e-10, 1.5854896008031963e-10, 7.927448004015988e-11, 0.0]",0.0,4.5808178181248177e-07,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,0.006446896602778619,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp1,2.431071761223153e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",6.065374591193721e-08,0.0,0.0,0.0,1.371165644171779e-08,1.2143501898654651e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp2,2.4310717612231526e-13,"[1.943122678398596e-10, 0.0, 0.0, 0.0, 0.0]",4.6435631010357335e-07,0.0,0.0,0.0,1.371165644171779e-08,2.800994300584657e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp3,2.4310717612231528e-11,"[4.538912937372814e-10, 4.538912937372814e-10, 0.0, 0.0, 0.0]",3.953952451720626e-05,0.0,0.0,0.0,1.371165644171779e-08,1.648369109283419e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp4,2.4310717612231527e-09,"[4.825491470292957e-09, 1.6084971567643192e-09, 1.6084971567643192e-09, 0.0, 0.0]",0.06405814064283756,0.0,0.0,0.0,1.371165644171779e-08,0.0,4.1566412233032596e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp5,2.4310717612231525e-07,"[5.557266242310434e-08, 1.1908427662093789e-08, 7.938951774729193e-09, 3.9694758873646e-09, 0.0]",886.221035906939,0.0,0.0,0.0,1.371165644171779e-08,0.0,0.006217766002584401,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp1,2.4310717612231526e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504648317849157e-16,0.0,0.0,1.371165644171779e-08,1.8096392463162407e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp2,2.4310717612231528e-14,"[2.069169623927708e-12, 0.0, 0.0, 0.0, 0.0]",0.0,6.049506537160827e-16,0.0,0.0,1.371165644171779e-08,3.22143301466741e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
